county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
基隆市,仁愛區,忠三,基隆市仁愛區忠三路52之1號54號1樓,25.1296965,121.7388743,,1,1,1,1
基隆市,仁愛區,崁頂,基隆市仁愛區仁四路60號62號1樓,25.1284439,121.7410029,1,1,1,1,1
基隆市,仁愛區,聖心,基隆市仁愛區仁二路236號,25.129963,121.743219,1,1,1,,1
基隆市,基隆市,基隆南站,基隆市仁愛區港西街5號1樓,25.1324216,121.7394049,1,1,1,1,1
基隆市,仁愛區,港隆,基隆市仁愛區孝四路23號1樓,25.1314456,121.7390218,,1,1,1,1
基隆市,仁愛區,愛六,基隆市仁愛區仁一路281號1樓,25.128421,121.7472758,1,1,1,,1
基隆市,仁愛區,愛鑫,基隆市仁愛區愛二路65號,25.1298291,121.7424769,1,1,1,1,1
基隆市,仁愛區,新仁二,基隆市仁愛區仁二路11號13號1樓,25.1273916,121.7506033,1,1,1,1,1
基隆市,仁愛區,新華成,基隆市仁愛區成功一路115號117號,25.1274842,121.73693,1,1,1,1,1
基隆市,仁愛區,新福成,基隆市仁愛區仁二路84號86號1樓,25.1277534,121.7484141,1,1,1,1,1
基隆市,仁愛區,新廟口,基隆市仁愛區仁二路228號1樓,25.1295298,121.7437774,,1,1,1,1
基隆市,仁愛區,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓,25.1289152,121.742702,1,1,1,1,1
基隆市,仁愛區,極品,"基隆市仁愛區仁三路19號21號1,2樓",25.128001,121.743741,,1,1,1,1
基隆市,仁愛區,極緻,基隆市仁愛區仁二路211號1樓,25.1288544,121.7443445,1,1,1,1,1
基隆市,仁愛區,慶龍,基隆市仁愛區南榮路187號1樓,25.1236562,121.7430505,,1,1,1,1
基隆市,信義區,坤海,基隆市信義區東明路69號,25.1275845,121.7623317,1,1,1,1,1
基隆市,信義區,東明,基隆市信義區東明路181號183號1樓,25.127724,121.757704,1,1,1,1,1
基隆市,信義區,杰昕,基隆市信義區信二路243號245號,25.1300842,121.7480581,1,1,1,1,1
基隆市,信義區,信二,基隆市信義區信二路167號,25.1294238,121.7520707,1,1,1,1,1
基隆市,信義區,美的,基隆市信義區教孝街28號1樓,25.1373174,121.775065,,1,1,1,1
基隆市,信義區,基醫,基隆市信義區信二路268號1樓,25.1303331,121.7482235,1,1,1,,1
基隆市,信義區,崇信,"基隆市信義區東信路212-4,214號1F",25.1282525,121.7630816,1,1,1,1,1
基隆市,信義區,深美,基隆市信義區深美街196號,25.1367786,121.778897,1,1,1,1,1
基隆市,信義區,深瑞,基隆市信義區深澳坑路129號1樓,25.1248366,121.7887327,1,1,1,1,1
基隆市,信義區,深澳坑,基隆市信義區深澳坑路2-6號2-7號,25.1369982,121.7712525,1,1,1,1,1
基隆市,信義區,新福樂,基隆市信義區深溪路43號45號1樓,25.1321057,121.782009,1,1,1,1,1
基隆市,信義區,滿福,基隆市信義區深澳坑路166之30號1樓,25.126521,121.7850144,1,1,1,1,1
基隆市,信義區,德信,基隆市信義區東信路50號52號,25.1279695,121.7679265,1,1,1,,1
台北市,松山區,上弘,台北市松山區敦化北路168號B2,25.05654,121.5484948,1,1,1,1,1
台北市,松山區,小巨蛋,台北市松山區南京東路四段2號1樓,25.0510696,121.5497293,1,1,1,1,1
台北市,松山區,中崙,台北市松山區八德路三段27號,25.0483004,121.5525986,1,1,1,1,1
台北市,松山區,北體,台北市松山區北寧路66號,25.0509068,121.5529417,,1,1,1,1
台北市,松山區,台場,台北市松山區八德路三段20-2號,25.0481,121.5510974,1,1,1,1,1
台北市,松山區,市大,台北市松山區市民大道路四段105號,25.0444674,121.5533341,1,1,1,,1
台北市,松山區,民有,台北市松山區民權東路三段108號,25.0618355,121.5450229,1,1,1,1,1
台北市,松山區,民復,台北市松山區民生東路四段130號,25.0581015,121.5551021,,1,1,1,1
台北市,松山區,吉仁,台北市松山區延吉街27-1號1樓,25.0459868,121.553706,1,1,1,1,1
台北市,松山區,吉盛,台北市松山區南京東路五段66巷3弄1號1樓,25.0509767,121.5610298,1,1,1,1,1
台北市,松山區,吉祥,台北市松山區八德路四段245巷52弄31號,25.0504637,121.5626879,1,1,1,1,1
台北市,松山區,京育,台北市松山區南京東路四段66號寧安街68巷25號,25.0514274,121.5539398,1,1,1,1,1
台北市,台北市,京佳,台北市松山區南京東路五段229號231號1樓,25.0516363,121.5644718,1,1,1,1,1
台北市,松山區,京東,台北市松山區南京東路五段16號1樓,25.051289,121.5586303,1,,1,1,1
台北市,松山區,京城,台北市松山區南京東路四段75之2號1樓,25.0518483,121.5535879,1,1,1,1,1
松山區,松山區,京復,台北市松山區光復北路11巷44號,25.0495489,121.5597008,1,1,1,1,1
台北市,松山區,京發,台北市松山區南京東路五段139之4及139之8號,25.0516983,121.5615739,1,1,1,1,1
台北市,松山區,京運,台北市松山區南京東路三段262號1樓,25.0515423,121.5449872,1,1,1,1,1
台北市,松山區,京寶,台北市松山區南京東路五段291巷4之1號4之2號,25.0516248,121.5662421,1,1,1,1,1
台北市,松山區,延新,台北市松山區延壽街99號1樓,25.0572224,121.5662934,,1,1,,1
台北市,松山區,延壽,台北市松山區延壽街422號,25.0562184,121.5564389,,1,1,1,1
台北市,松山區,征東,台北市松山區新東街15巷1號,25.0585075,121.5658874,,1,1,1,1
台北市,松山區,征唐,台北市松山區新東街41-7號,25.0603492,121.5655555,1,1,1,1,1
台北市,松山區,明塑,台北市松山區民生東路四段54號之2一樓,25.0575053,121.5510868,1,1,1,,1
台北市,松山區,東光,台北市松山區南京東路五段15號1樓,25.0518053,121.5579137,1,1,1,1,1
台北市,松山區,東吉,台北市松山區民生東路五段100號,25.0584411,121.560323,1,1,1,1,1
台北市,松山區,東復,台北市松山區復興北路313巷25號,25.0590183,121.5462997,1,1,1,1,1
台北市,松山區,東勢,台北市松山區南京東路四段133巷6弄1號,25.0525826,121.5550442,1,1,1,,1
台北市,松山區,東榮,台北市松山區民生東路五段65號,25.058634,121.5580776,1,1,1,,1
台北市,松山區,東鑫,台北市松山區民生東路四段55巷10號,25.0583355,121.5504141,1,1,1,1,1
台北市,松山區,松民,台北市松山區三民路10號,25.0523781,121.5639594,1,1,1,1,1
台北市,松山區,松禾,台北市松山區塔悠路31號33號,25.0507119,121.5715694,1,1,1,1,1
